dates,posts,sentence_tokenize,word_tokenize
"30,June,2004","

	 
      every day should be a half day.  took the afternoon off to hit the dentist, and while i was out i managed to get my oil changed, too.  remember that business with my car dealership this winter?  well, consider this the epilogue.  the friendly fellas at the valvoline instant oil change on snelling were nice enough to notice that my dipstick was broken, and the metal piece was too far down in its little dipstick tube to pull out.  looks like i'm going to need a magnet.   damn you, kline nissan, daaaaaaammmnnn yooouuuu....   today i let my boss know that i've submitted my corps application.  the news has been greeted by everyone in the company with a level of enthusiasm that really floors me.     the back deck has finally been cleared off by the construction company working on the place.  this company, for anyone who's interested, consists mainly of one guy who spends his days cursing at his crew of spanish-speaking laborers.  construction of my deck began around the time nixon was getting out of office.
    
","['\n\n\t \n      every day should be a half day.', 'took the afternoon off to hit the dentist, and while i was out i managed to get my oil changed, too.', 'remember that business with my car dealership this winter?', 'well, consider this the epilogue.', 'the friendly fellas at the valvoline instant oil change on snelling were nice enough to notice that my dipstick was broken, and the metal piece was too far down in its little dipstick tube to pull out.', ""looks like i'm going to need a magnet."", ""damn you, kline nissan, daaaaaaammmnnn yooouuuu....   today i let my boss know that i've submitted my corps application."", 'the news has been greeted by everyone in the company with a level of enthusiasm that really floors me.', 'the back deck has finally been cleared off by the construction company working on the place.', ""this company, for anyone who's interested, consists mainly of one guy who spends his days cursing at his crew of spanish-speaking laborers."", 'construction of my deck began around the time nixon was getting out of office.']","['construction', 'of', 'my', 'deck', 'began', 'around', 'the', 'time', 'nixon', 'was', 'getting', 'out', 'of', 'office', '.']"
"29,June,2004","

	 
      consider the ball rolling.  i've submitted my application and health review, and i've made myself available for assignment starting march 2005.
    
","['\n\n\t \n      consider the ball rolling.', ""i've submitted my application and health review, and i've made myself available for assignment starting march 2005.""]","['i', ""'ve"", 'submitted', 'my', 'application', 'and', 'health', 'review', ',', 'and', 'i', ""'ve"", 'made', 'myself', 'available', 'for', 'assignment', 'starting', 'march', '2005', '.']"
"28,June,2004","

	 
      i'm going to be back in the office environment again starting thursday.  cry for me.  oh well, i think hitting the submit button on my application tomorrow might actually make that return bearable.
    
","[""\n\n\t \n      i'm going to be back in the office environment again starting thursday."", 'cry for me.', 'oh well, i think hitting the submit button on my application tomorrow might actually make that return bearable.']","['oh', 'well', ',', 'i', 'think', 'hitting', 'the', 'submit', 'button', 'on', 'my', 'application', 'tomorrow', 'might', 'actually', 'make', 'that', 'return', 'bearable', '.']"
"27,June,2004","

	 
      i'm still not making any headway with my family.  in fact, i think mom has been rallying the troops (aka aunts and uncles) against me.  meanwhile, my friends have been really supportive of the idea.  thanks, all.  it's frustrating, you know?  here, i want to get out into the world, have a pinch of adventure, and maybe help some people out in the process, and i'm earning the resentment of the entire freakin' family because of this.  i can only hope that, over time, cooler heads will prevail.  there's now a nationwide girlfriend hunt on for yours truly (hell, with mom's mexico ties, this shit could go international), because, obviously, the cure for all this foolishness is for me to get laid.  oh, and i should buy myself something nice.  problem solved.  life is so sad.  had a spot of sunday night insomnia, fueled mostly by my discussions with the parents yesterday.  thankfully, jack daniels helped me out with that.  whoever is in charge of late night sunday programming should be shot.  sunday night insomnia is not an uncommon phenomenon, and tv needs to be there for people in their hour(s) of need!  jerks.
    
","[""\n\n\t \n      i'm still not making any headway with my family."", 'in fact, i think mom has been rallying the troops (aka aunts and uncles) against me.', 'meanwhile, my friends have been really supportive of the idea.', 'thanks, all.', ""it's frustrating, you know?"", ""here, i want to get out into the world, have a pinch of adventure, and maybe help some people out in the process, and i'm earning the resentment of the entire freakin' family because of this."", 'i can only hope that, over time, cooler heads will prevail.', ""there's now a nationwide girlfriend hunt on for yours truly (hell, with mom's mexico ties, this shit could go international), because, obviously, the cure for all this foolishness is for me to get laid."", 'oh, and i should buy myself something nice.', 'problem solved.', 'life is so sad.', 'had a spot of sunday night insomnia, fueled mostly by my discussions with the parents yesterday.', 'thankfully, jack daniels helped me out with that.', 'whoever is in charge of late night sunday programming should be shot.', 'sunday night insomnia is not an uncommon phenomenon, and tv needs to be there for people in their hour(s) of need!', 'jerks.']","['jerks', '.']"
"27,June,2004","

	 
      two points for anyone who can identify that bit of dialogue (one of my favorite bits).  hint: director steven soderbergh insists that it's meaningless.  back to  about schmidt  for a moment.  i just love the name schmidt.  does anyone else feel the same way?  so many superfluous letters... that kooky ""c""... that silent ""d"".  along those same lines: it took michael moore to really help me memorize the spelling of ""fahrenheit"".  yes, i'm still adhering to my own rule that periods don't need to go inside quotation marks.  the parents are on their way out.  i'm going to try to think of something to cook, lest we end up at axl's bonfire grill down the street.  let me see... corn on the cob fresh from my grimy stove-top, or perhaps a nice walleye salad at axl's?  decisions, decisions.
    
","['\n\n\t \n      two points for anyone who can identify that bit of dialogue (one of my favorite bits).', ""hint: director steven soderbergh insists that it's meaningless."", 'back to  about schmidt  for a moment.', 'i just love the name schmidt.', 'does anyone else feel the same way?', 'so many superfluous letters... that kooky ""c""... that silent ""d"".', 'along those same lines: it took michael moore to really help me memorize the spelling of ""fahrenheit"".', ""yes, i'm still adhering to my own rule that periods don't need to go inside quotation marks."", 'the parents are on their way out.', ""i'm going to try to think of something to cook, lest we end up at axl's bonfire grill down the street."", ""let me see... corn on the cob fresh from my grimy stove-top, or perhaps a nice walleye salad at axl's?"", 'decisions, decisions.']","['decisions', ',', 'decisions', '.']"
"26,June,2004","

	 
       about schmidt  this afternoon.  pretty good.  a little vexed by the ending.  i think i'm getting too lazy to interpret ambiguity.  finished up most of my application today, essay questions and all.  all that remains is to inform my references of their reference status... and that could very well mean letting my company know that i'm planning to leave in 6 mos. to a year.  i'm not sure how they'll react, but i'm not all that concerned, either.  good people there, certainly, but i am giving them at least  six months  notice.  at this point, the only thing that gives me pause is sydney.  i have to make sure she has a home for a few years, and i have to be sure that whoever gets her knows what they're getting into.  sydney's a good cat in a lot of ways... very clean, very well mannered, sweet as all get out... and that tiny meow.  that said, she likes to scratch stuff, and i should probably get that in check before i expose her to furniture that isn't dorm-rated.
    
","['\n\n\t \n       about schmidt  this afternoon.', 'pretty good.', 'a little vexed by the ending.', ""i think i'm getting too lazy to interpret ambiguity."", 'finished up most of my application today, essay questions and all.', ""all that remains is to inform my references of their reference status... and that could very well mean letting my company know that i'm planning to leave in 6 mos."", 'to a year.', ""i'm not sure how they'll react, but i'm not all that concerned, either."", 'good people there, certainly, but i am giving them at least  six months  notice.', 'at this point, the only thing that gives me pause is sydney.', ""i have to make sure she has a home for a few years, and i have to be sure that whoever gets her knows what they're getting into."", ""sydney's a good cat in a lot of ways... very clean, very well mannered, sweet as all get out... and that tiny meow."", ""that said, she likes to scratch stuff, and i should probably get that in check before i expose her to furniture that isn't dorm-rated.""]","['that', 'said', ',', 'she', 'likes', 'to', 'scratch', 'stuff', ',', 'and', 'i', 'should', 'probably', 'get', 'that', 'in', 'check', 'before', 'i', 'expose', 'her', 'to', 'furniture', 'that', 'is', ""n't"", 'dorm-rated', '.']"
"25,June,2004","

	 
      i spent a good hour last night paging through the application and making little notes about what to say for the longer, essay portions.  the questions being asked are standard job interview stuff, at least they were at the university.  basically, how do you handle diversity, and why do you want to work here?  as for the short answers: i haven't decided whether i should be concerned by the fact that there's an entire page dedicated to previous volunteer experience... and, apart from a pledge that i'm going to be doing some tutoring work for the minnesota literacy council, that page is going to be completely blank.  the job history page says to go back ""at least 10 years.""  ten years ago, i was 16.  i was working at best buy, and i hated it.  i should note, though, that i saw my old manager working at audio king (back when it was called audio king), many months ago.  then there was media play... then hollywood video... i can't believe that an international aid organization would find my ability to upsell packard bells, or say in what section  femalien  resides, remotely interesting.  how i spent the remainder of my thursday night: watched  the fog of war , an amazing errol morris doc about robert mcnamara.  then, i went to sleep and had strange dreams involving holly hunter.
    
","['\n\n\t \n      i spent a good hour last night paging through the application and making little notes about what to say for the longer, essay portions.', 'the questions being asked are standard job interview stuff, at least they were at the university.', 'basically, how do you handle diversity, and why do you want to work here?', ""as for the short answers: i haven't decided whether i should be concerned by the fact that there's an entire page dedicated to previous volunteer experience... and, apart from a pledge that i'm going to be doing some tutoring work for the minnesota literacy council, that page is going to be completely blank."", 'the job history page says to go back ""at least 10 years.""', 'ten years ago, i was 16.  i was working at best buy, and i hated it.', 'i should note, though, that i saw my old manager working at audio king (back when it was called audio king), many months ago.', ""then there was media play... then hollywood video... i can't believe that an international aid organization would find my ability to upsell packard bells, or say in what section  femalien  resides, remotely interesting."", 'how i spent the remainder of my thursday night: watched  the fog of war , an amazing errol morris doc about robert mcnamara.', 'then, i went to sleep and had strange dreams involving holly hunter.']","['then', ',', 'i', 'went', 'to', 'sleep', 'and', 'had', 'strange', 'dreams', 'involving', 'holly', 'hunter', '.']"
"24,June,2004","

	 
      it's pretty obvious that i'm not a great learner of lessons, because here i am writing the umpteeth ""first blog entry"" of my life.  someone, somewhere (probably pretty close to here, actually), is going to open up this domain expecting to see handsome video game cratchit digging his way out of a sand trap, only to find i'm on the blogging track again.  cue blood squib explosions and the first movement of carmina burana.  but, wait.  i'm a changed man, baby!  things will be different this time, i swear!  well, maybe not right away, but eventually, i hope.  i've been feeling more than a little anxious the past few months.  life as a web developer has sort of burned me out, and i think i'd like to try something different... something that will get me closer the great life goal i'm shooting for.  i'm not sure what the goal is exactly, but i get the feeling i'll never get there on my current course.  web development is great and all, but sometimes i get the impression that, in this field, i'm driven more by my perfectionism than by any genuine love of the work.  it's no secret to anyone that's spoken to me in the past few months that i'm about this (--) close to joining the peace corps.  in fact, the application is sitting on my coffee table right now.  there's a pen there, too.  oh, and i've filled in a few blanks with that very same pen.  there are a few very big blanks that are going to demand more brainpower than i can muster after 8-something hours of mind-numbing development, but i promise you that i'm going to power through and get all 16+ pages of the form in the mail by the end of next week.  i'm sure even my fans in chicago will be able to hear my mother's cries when she hears the news.  so, you see, this blog has a reason for existing.  i'm hitting the reset button on life, and you're all going to be here to see it.  dramatic, right?  anyway, here we go.
    
","['\n\n\t \n      it\'s pretty obvious that i\'m not a great learner of lessons, because here i am writing the umpteeth ""first blog entry"" of my life.', ""someone, somewhere (probably pretty close to here, actually), is going to open up this domain expecting to see handsome video game cratchit digging his way out of a sand trap, only to find i'm on the blogging track again."", 'cue blood squib explosions and the first movement of carmina burana.', 'but, wait.', ""i'm a changed man, baby!"", 'things will be different this time, i swear!', 'well, maybe not right away, but eventually, i hope.', ""i've been feeling more than a little anxious the past few months."", ""life as a web developer has sort of burned me out, and i think i'd like to try something different... something that will get me closer the great life goal i'm shooting for."", ""i'm not sure what the goal is exactly, but i get the feeling i'll never get there on my current course."", ""web development is great and all, but sometimes i get the impression that, in this field, i'm driven more by my perfectionism than by any genuine love of the work."", ""it's no secret to anyone that's spoken to me in the past few months that i'm about this (--) close to joining the peace corps."", 'in fact, the application is sitting on my coffee table right now.', ""there's a pen there, too."", ""oh, and i've filled in a few blanks with that very same pen."", ""there are a few very big blanks that are going to demand more brainpower than i can muster after 8-something hours of mind-numbing development, but i promise you that i'm going to power through and get all 16+ pages of the form in the mail by the end of next week."", ""i'm sure even my fans in chicago will be able to hear my mother's cries when she hears the news."", 'so, you see, this blog has a reason for existing.', ""i'm hitting the reset button on life, and you're all going to be here to see it."", 'dramatic, right?', 'anyway, here we go.']","['anyway', ',', 'here', 'we', 'go', '.']"
"26,July,2004","

	 
      my reference forms trickled in last week, and that left the weekend for me to buck up my cross-cultural adaptation essay, something i've been really struggling with.  what's a significant experience  you've  had with adapting to a different culture?  you'd think that a three month stint in europe would make a question of this kind really easy to answer, but it doesn't... tourism, as it turns out, doesn't really lend itself to forcing you adapt to anything other than washing your clothes in a sink.  i wish i could say i've needed to wipe my butt with a leaf once in my life, but that's just not the case... hence, my application to the pc.    back to the story, then.  i filled up the huge pc envelope last night and sent it on its way this morning.  there's an education addendum that i decided against filling out, only because it would have been a pretty pathetic-looking effort.  my it addendum, on the other hand, was five pages long.  huzzah!  i'd still rather not spend two years sitting in front of a computer in whateverstan, but i don't want to limit my placement opportunities, either.    so that's that.  now i wait for a nomination.    on the 'rents:  this weekend, i told them that i've submitted my application and met with a recruiter.  their heads didn't explode.  they didn't key my car or light my hair on fire.  still, dad says that i'm making a mistake, and mom said she wouldn't be able to sleep.  i stressed the importance of optimism, as opposed to--well, you know--flipped-out, irrational fatalism.    dnc:  politics.  feh.  here's my take on politics:   dear republicans:  george w. bush...  this is the best you've got?  are you fucking serious?  dear democrats:  john kerry...  this is the best you've got?  are you fucking serious?     that is all.  you may return to your regular business.    
    
","[""\n\n\t \n      my reference forms trickled in last week, and that left the weekend for me to buck up my cross-cultural adaptation essay, something i've been really struggling with."", ""what's a significant experience  you've  had with adapting to a different culture?"", ""you'd think that a three month stint in europe would make a question of this kind really easy to answer, but it doesn't... tourism, as it turns out, doesn't really lend itself to forcing you adapt to anything other than washing your clothes in a sink."", ""i wish i could say i've needed to wipe my butt with a leaf once in my life, but that's just not the case... hence, my application to the pc."", 'back to the story, then.', 'i filled up the huge pc envelope last night and sent it on its way this morning.', ""there's an education addendum that i decided against filling out, only because it would have been a pretty pathetic-looking effort."", 'my it addendum, on the other hand, was five pages long.', 'huzzah!', ""i'd still rather not spend two years sitting in front of a computer in whateverstan, but i don't want to limit my placement opportunities, either."", ""so that's that."", 'now i wait for a nomination.', ""on the 'rents:  this weekend, i told them that i've submitted my application and met with a recruiter."", ""their heads didn't explode."", ""they didn't key my car or light my hair on fire."", ""still, dad says that i'm making a mistake, and mom said she wouldn't be able to sleep."", 'i stressed the importance of optimism, as opposed to--well, you know--flipped-out, irrational fatalism.', 'dnc:  politics.', 'feh.', ""here's my take on politics:   dear republicans:  george w. bush...  this is the best you've got?"", 'are you fucking serious?', ""dear democrats:  john kerry...  this is the best you've got?"", 'are you fucking serious?', 'that is all.', 'you may return to your regular business.']","['you', 'may', 'return', 'to', 'your', 'regular', 'business', '.']"
"19,July,2004","

	 
      hey, i gave you guys a little vacation.  hope you enjoyed it.    met with my peace corps recruiter friday afternoon at the pc office above kieran's. answered a bunch of those types of questions you get at job interviewsm, and was fingerprinted for my soon-to-be-generated fbi file. there goes my backup plan of becoming a jewel thief.    managed to skirt around conversation relating to this on sunday, when i visited the parents. actually, i haven't yet told them that i've actually started the application process, only that i've been thinking seriously about it.    i probably would have gotten into it, but mom called me on thursday afternoon, loaded up with a bunch of anecdotes from the ""casualties of peace"" series of articles that ran in the dayton daily news last year. arguing with your mother is a good way to ruin your lunch break, and many of the hours thereafter.    but i really should be going. hoping to get the rest of my paperwork in this week. after that, i'll ready myself for a series of invasive medical check-ups. joy! 
    
","['\n\n\t \n      hey, i gave you guys a little vacation.', 'hope you enjoyed it.', ""met with my peace corps recruiter friday afternoon at the pc office above kieran's."", 'answered a bunch of those types of questions you get at job interviewsm, and was fingerprinted for my soon-to-be-generated fbi file.', 'there goes my backup plan of becoming a jewel thief.', 'managed to skirt around conversation relating to this on sunday, when i visited the parents.', ""actually, i haven't yet told them that i've actually started the application process, only that i've been thinking seriously about it."", 'i probably would have gotten into it, but mom called me on thursday afternoon, loaded up with a bunch of anecdotes from the ""casualties of peace"" series of articles that ran in the dayton daily news last year.', 'arguing with your mother is a good way to ruin your lunch break, and many of the hours thereafter.', 'but i really should be going.', 'hoping to get the rest of my paperwork in this week.', ""after that, i'll ready myself for a series of invasive medical check-ups."", 'joy!']","['joy', '!']"
