dates,posts,sentence_tokenize
"03,August,2004","

	 
      yet another tv channel. this time it's called zoom and comes from the times group (publishers of times of india, economic times, indiatimes, femina and so on.    this channel will most probably be launched at the end of the month 28th august being a tentative date.  professed to be aimed at the urban young, hip and happening is supposed to appeal to the consuming public.  some of the programs to come  page 3 (if it is from the house of page 3, then how can there not be a program called page 3) not just page 3 ( the opposite of page 3) item number girl hunt (after the hunt for pop stars, film stars and what not, a hunt which is finally interesting... the hunt for item number girls)  i'll be getting to see some of the pilots next week. so full reviews of them then...
    
","['\n\n\t \n      yet another tv channel.', ""this time it's called zoom and comes from the times group (publishers of times of india, economic times, indiatimes, femina and so on."", 'this channel will most probably be launched at the end of the month 28th august being a tentative date.', 'professed to be aimed at the urban young, hip and happening is supposed to appeal to the consuming public.', ""some of the programs to come  page 3 (if it is from the house of page 3, then how can there not be a program called page 3) not just page 3 ( the opposite of page 3) item number girl hunt (after the hunt for pop stars, film stars and what not, a hunt which is finally interesting... the hunt for item number girls)  i'll be getting to see some of the pilots next week."", 'so full reviews of them then...']"
"31,March,2000","


       
      i'm looking for the mp3 of the gary barlow song open road. if anybody has links to it pls email  urllink me 
     

 
    
","[""\n\n\n       \n      i'm looking for the mp3 of the gary barlow song open road."", 'if anybody has links to it pls email  urllink me']"
"30,March,2000","


       
      my new email address  urllink chirag@chiragpatnaik.com 
     

 
    
",['\n\n\n       \n      my new email address  urllink chirag@chiragpatnaik.com']
"30,March,2000","


       
      kota is the place of the day, this city has the unique distinction in india to be the host for different kinds of power plants namely, thermal, hydroelectric and nuclear power plants. your's truly has visited them all. this city is also in the western state of rajasthan. it is very hot here in the summer and almost nobody uses an air conditioner. this place afforded the only stability for any length of time. as i did my class 10th 11th and 12th here. had a generally fun time, as everybody does in the final years of school. we visited a lot of places in rajasthan from here. jaipur, jodhpur, bikaner, bharatpur(the bird sanctuary), mathura and had almost decided to go to delhi in the same trip but wiser counsel prevailed.   i will want to go to this place, just to revive the memories of the good old days of school and the like.
     

 
    
","['\n\n\n       \n      kota is the place of the day, this city has the unique distinction in india to be the host for different kinds of power plants namely, thermal, hydroelectric and nuclear power plants.', ""your's truly has visited them all."", 'this city is also in the western state of rajasthan.', 'it is very hot here in the summer and almost nobody uses an air conditioner.', 'this place afforded the only stability for any length of time.', 'as i did my class 10th 11th and 12th here.', 'had a generally fun time, as everybody does in the final years of school.', 'we visited a lot of places in rajasthan from here.', 'jaipur, jodhpur, bikaner, bharatpur(the bird sanctuary), mathura and had almost decided to go to delhi in the same trip but wiser counsel prevailed.', 'i will want to go to this place, just to revive the memories of the good old days of school and the like.']"
"30,March,2000","


       
      domains domains and more domains, i want more
     

 
    
","['\n\n\n       \n      domains domains and more domains, i want more']"
"29,March,2000","


       
       my posts to the blog will still be daily though erratic. this is because of me going underground to prepare for the upcoming interview in calcutta, so i need to get in shape and real fast that too. anybody who has a magic bullet for weight loss may please contact  urllink me . that's all for today folks.
     

 
    
","['\n\n\n       \n       my posts to the blog will still be daily though erratic.', 'this is because of me going underground to prepare for the upcoming interview in calcutta, so i need to get in shape and real fast that too.', 'anybody who has a magic bullet for weight loss may please contact  urllink me .', ""that's all for today folks.""]"
"29,March,2000","


       
      the next city in the current series is allahabad. this city lies on the confluence of the three rivers the ganges, the yamuna and the saraswati. however, if you pick up the atlas, you'll see that there are only two rivers. what about the  third  river? well! it is mythological. yes that's right it's mythological. it is reputed that the river saraswati flowed there and due to some event (i don't remember what) it went underground out of shame. the rivers in india have been personified, that's how the shame factor comes into the picture.   anyway back to the city, a nice city to live in. i did my class sixth and seventh here in different schools, namely the st joseph's college and the kendriya vidyalaya, manauri. after this city i've always studied in kendriya vidyalayas(central schools in hindi). amazingly there is nothing very remarkable about this city as far as modern times go. but this city is steeped in indian mythology. lord ram is said to have been here during his 14 years of forced exile. another feature of this place, the roots of a banyan tree which gives of leaves(you've got to see it to believe it), the very same banyan tree is said to be several millenia old and the british even tried to set it afire (out of plain old malice)so that we'd lose this part of our heritage, but this tree survived and is said to be one of the largest trees in india.  there is also a tunnel which is said to go all the way from allahabad to delhi. people have tried to follow this tunnel but it ends due to a rockfall some distance inside. i was here during the infamous babri masjid (mosque) demolition. that was one shameful aspect of india's modern history, when a bunch of hooligans decided to break down the mosque. there was a lot of tension because of the demolition and the army had to do flag marches and the like in certain localities to calm things down a bit. i was also here during the infamous anti mandal commision riots. the riots took place because of the provision for reservation for the backward classes in the government jobs and other government owned and operated institutions. a lot of heartburn took place in this country because of that one man who was responsible for this. the amazing part is that man is alive and hopes to enter active politics again. (to dispel any confusion it was not mr mandal, but prime minister vp singh who actually implemented the commision report and is thus reviled for the reason).  i probably will never want to come back here again, simply because there is nothing to come back to. 
     

 
    
","['\n\n\n       \n      the next city in the current series is allahabad.', 'this city lies on the confluence of the three rivers the ganges, the yamuna and the saraswati.', ""however, if you pick up the atlas, you'll see that there are only two rivers."", 'what about the  third  river?', 'well!', 'it is mythological.', ""yes that's right it's mythological."", ""it is reputed that the river saraswati flowed there and due to some event (i don't remember what) it went underground out of shame."", ""the rivers in india have been personified, that's how the shame factor comes into the picture."", 'anyway back to the city, a nice city to live in.', ""i did my class sixth and seventh here in different schools, namely the st joseph's college and the kendriya vidyalaya, manauri."", ""after this city i've always studied in kendriya vidyalayas(central schools in hindi)."", 'amazingly there is nothing very remarkable about this city as far as modern times go.', 'but this city is steeped in indian mythology.', 'lord ram is said to have been here during his 14 years of forced exile.', ""another feature of this place, the roots of a banyan tree which gives of leaves(you've got to see it to believe it), the very same banyan tree is said to be several millenia old and the british even tried to set it afire (out of plain old malice)so that we'd lose this part of our heritage, but this tree survived and is said to be one of the largest trees in india."", 'there is also a tunnel which is said to go all the way from allahabad to delhi.', 'people have tried to follow this tunnel but it ends due to a rockfall some distance inside.', 'i was here during the infamous babri masjid (mosque) demolition.', ""that was one shameful aspect of india's modern history, when a bunch of hooligans decided to break down the mosque."", 'there was a lot of tension because of the demolition and the army had to do flag marches and the like in certain localities to calm things down a bit.', 'i was also here during the infamous anti mandal commision riots.', 'the riots took place because of the provision for reservation for the backward classes in the government jobs and other government owned and operated institutions.', 'a lot of heartburn took place in this country because of that one man who was responsible for this.', 'the amazing part is that man is alive and hopes to enter active politics again.', '(to dispel any confusion it was not mr mandal, but prime minister vp singh who actually implemented the commision report and is thus reviled for the reason).', 'i probably will never want to come back here again, simply because there is nothing to come back to.']"
"29,March,2000","


       
      and the indian timezone in blogger still does not work.
     

 
    
",['\n\n\n       \n      and the indian timezone in blogger still does not work.']
"28,March,2000","


       
      i'm registering domain by the dozen, u'r right i've nothing better to do.
     

 
    
","[""\n\n\n       \n      i'm registering domain by the dozen, u'r right i've nothing better to do.""]"
"28,March,2000","


       
      hi've made  a new graphic for u ppl to link to.   urllink   
     

 
    
","[""\n\n\n       \n      hi've made  a new graphic for u ppl to link to."", 'urllink']"
