Address,BuildingArea,YearBuilt
68 Studley St,,
85 Turner St,,
25 Bloomburg St,79.0,1900.0
18/659 Victoria St,,
5 Charles St,150.0,1900.0
40 Federation La,,
55a Park St,142.0,2014.0
16 Maugie St,220.0,2006.0
53 Turner St,,1900.0
99 Turner St,,1900.0
129 Charles St,,
124 Yarra St,210.0,1910.0
121/56 Nicholson St,82.0,2009.0
17 Raphael St,147.0,1860.0
98 Charles St,107.0,1890.0
217 Langridge St,,
18a Mollison St,,
6/241 Nicholson St,,
10 Valiant St,75.0,1900.0
403/609 Victoria St,,
2 Rich St,80.0,1925.0
25/84 Trenerry Cr,,
106/119 Turner St,,
411/8 Grosvenor St,,
40 Nicholson St,190.0,2005.0
123/56 Nicholson St,94.0,2009.0
22 Park St,,
13/84 Trenerry Cr,,
45 William St,,
7/20 Abbotsford St,,
16 William St,97.0,1890.0
16/11 Nicholson St,129.0,2010.0
42 Henry St,110.0,1880.0
250 Langridge St,,
16b Mollison St,,
78 Yarra St,105.0,1890.0
196 Nicholson St,,
42 Valiant St,73.0,1985.0
3/72 Charles St,135.0,1900.0
1/1 Mayfield St,167.0,2005.0
13/11 Nicholson St,,2010.0
138/56 Nicholson St,27.0,
6/219 Nicholson St,60.0,1970.0
52a William St,135.0,2013.0
49 Park St,85.0,1900.0
65/80 Trenerry Cr,,
119/52 Nicholson St,,
8b Park St,,
5/20 Abbotsford St,,
48 Abbotsford St,174.0,2012.0
116/56 Nicholson St,50.0,
159 Park St,128.0,1920.0
49/84 Trenerry Cr,,
31 Turner St,,
17/1 Abbot St,,
166 Gipps St,18.0,
60 Stafford St,124.0,1950.0
11/205 Gipps St,50.0,2013.0
47 Studley St,91.0,1900.0
45 Yarra St,128.0,1998.0
4/328 Johnston St,,
200 Nicholson St,82.0,1900.0
82/84 Trenerry Cr,,
27 Charles St,81.0,1930.0
22 Park St,,
40/80 Trenerry Cr,,
154 Halsey Rd,225.0,2016.0
50 Bedford St,145.0,1965.0
50 Bedford St,145.0,1965.0
5 Harrington Rd,114.0,1960.0
23 Hart St,84.0,1950.0
1/80 Hawker St,134.0,2009.0
1/37 Hillside Gr,116.0,1980.0
2/49 McIntosh St,86.0,2011.0
4/9 West Ct,,
1/36 York St,,
33 Bowes Av,,
89 Bowes Av,,
45 Laurence Av,,
54 Marshall Rd,,
36 Roberts Rd,127.0,
11 Harrington Rd,186.0,1980.0
2/252 Parer Rd,90.0,2015.0
3/19 Hart St,73.0,2013.0
81a Roberts Rd,,
2/62 Clydesdale Rd,94.0,2012.0
3 Deidre Ct,133.0,1975.0
3/24 Elstone Av,,
13 Etzel St,105.0,1950.0
37a North St,,
1/43 Cameron St,130.0,1993.0
1/69 Bowes Av,,
2/9 El Reno Cr,,
92 McNamara Av,,
145a Victory Rd,,
20 Creswell Av,,
241 Parer Rd,,
71 Bowes Av,,
2/40 Earl St,133.0,2009.0
2/112 Parer Rd,,
180 Parer Rd,113.0,1960.0
4/54 Hawker St,,2003.0
43 Hillside Gr,,
174 Parer Rd,100.0,1975.0
138 Victory Rd,174.0,1950.0
75 King St,,
6 Kittyhawk St,309.0,1980.0
7 McNamara Av,,
478 Fullarton Rd,192.0,1980.0
144 Marshall Rd,126.0,1995.0
106 Parer Rd,,
1/41 Hillside Gr,,
3/7 South Rd,101.0,2010.0
37 North St,102.0,1960.0
10 Hilbert Rd,113.0,1975.0
7/42 York St,,
110 Halsey Rd,,
2/13 North St,76.0,
105a Victory Rd,,
117 Marshall Rd,,
34 Moorna Dr,,
2/89 Marshall Rd,,
33 North St,,
4/40 McNamara Av,,
5/93 McNamara Av,,
2/137 McNamara Av,,
1/46 Bowes Av,,
1/34 Elstone Av,,
49 Roberts Rd,,
85 Roberts Rd,146.0,1975.0
22a Walters Av,,
1/145 Parer Rd,,
3/35 Walters Av,,
105 Kerferd Rd,82.0,1900.0
85 Richardson St,,
112 Beaconsfield Pde,198.0,1890.0
94 Graham St,133.0,1890.0
14 Merton St,,1900.0
396 Montague St,81.0,1900.0
9 Boyd St,145.0,1890.0
75 Graham St,,1900.0
54 Brooke St,,
104 Richardson St,180.0,1880.0
81 Richardson St,125.0,1880.0
4a Mills St,,
1 Moubray St,159.0,1996.0
114 Victoria Av,,
29 Faussett St,107.0,1900.0
3 Herbert St,,
