Bathroom,Bedroom2,Car,CouncilArea,CurrentMonth,CurrentYear,Distance,Landsize,Lattitude,Longtitude,Method,Postcode,Price,Propertycount,Regionname,Rooms,SellerG,Suburb,Type
1.0,2.0,1.0,32,3,2016,2.5,202.0,-37.7996,144.9984,1,3067.0,1480000.0,4019.0,3,2,32,0,0
1.0,2.0,0.0,32,4,2016,2.5,156.0,-37.8079,144.9934,1,3067.0,1035000.0,4019.0,3,2,32,0,0
2.0,3.0,0.0,32,4,2017,2.5,134.0,-37.8093,144.9944,3,3067.0,1465000.0,4019.0,3,3,32,0,0
2.0,3.0,1.0,32,4,2017,2.5,94.0,-37.7969,144.9969,0,3067.0,850000.0,4019.0,3,3,32,0,0
1.0,3.0,2.0,32,4,2016,2.5,120.0,-37.8072,144.9941,4,3067.0,1600000.0,4019.0,3,4,206,0,0
1.0,2.0,0.0,32,7,2016,2.5,181.0,-37.8041,144.9953,1,3067.0,941000.0,4019.0,3,2,142,0,0
2.0,4.0,0.0,32,7,2016,2.5,245.0,-37.8024,144.9993,1,3067.0,1876000.0,4019.0,3,3,206,0,0
1.0,2.0,2.0,32,8,2016,2.5,256.0,-37.806,144.9954,1,3067.0,1636000.0,4019.0,3,2,206,0,0
1.0,3.0,2.0,32,8,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,1000000.0,4019.0,3,3,142,0,0
1.0,3.0,2.0,32,8,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,745000.0,4019.0,3,2,142,0,1
1.0,1.0,1.0,32,8,2016,2.5,0.0,-37.8008,144.9973,1,3067.0,300000.0,4019.0,3,1,32,0,2
1.0,3.0,2.0,32,8,2016,2.5,220.0,-37.801,144.9989,1,3067.0,1097000.0,4019.0,3,2,32,0,0
1.0,3.0,2.0,32,8,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,542000.0,4019.0,3,2,86,0,2
1.0,3.0,2.0,32,10,2016,2.5,512.0,-37.80696302719972,144.99671101938742,3,3067.0,760000.0,4019.0,3,2,32,0,2
1.0,3.0,2.0,32,10,2016,2.5,512.0,-37.80696302719972,144.99671101938742,3,3067.0,481000.0,4019.0,3,1,246,0,2
2.0,2.0,1.0,32,12,2016,2.5,0.0,-37.811,145.0067,4,3067.0,700000.0,4019.0,3,2,142,0,2
2.0,3.0,2.0,32,12,2016,2.5,214.0,-37.8085,144.9964,4,3067.0,1350000.0,4019.0,3,3,206,0,0
2.0,2.0,1.0,32,12,2016,2.5,0.0,-37.8078,144.9965,1,3067.0,750000.0,4019.0,3,2,32,0,2
1.0,3.0,2.0,32,12,2016,2.5,512.0,-37.8084,144.9942,1,3067.0,1985000.0,4019.0,3,4,32,0,0
1.0,3.0,2.0,32,12,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,500000.0,4019.0,3,1,32,0,2
1.0,2.0,1.0,32,8,2016,2.5,195.0,-37.8084,144.9973,1,3067.0,1172500.0,4019.0,3,2,32,0,0
1.0,1.0,1.0,32,5,2016,2.5,0.0,-37.8016,144.9988,3,3067.0,441000.0,4019.0,3,1,115,0,2
1.0,2.0,2.0,32,10,2016,2.5,238.0,-37.809,144.9976,1,3067.0,1310000.0,4019.0,3,2,142,0,0
2.0,3.0,1.0,32,7,2016,2.5,113.0,-37.8056,144.993,1,3067.0,1200000.0,4019.0,3,3,142,0,0
1.0,3.0,2.0,32,7,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,847000.0,4019.0,3,2,142,0,1
1.0,2.0,1.0,32,7,2016,2.5,138.0,-37.8021,144.9965,1,3067.0,1176500.0,4019.0,3,3,157,0,0
1.0,3.0,0.0,32,9,2016,2.5,183.0,-37.8022,144.9975,1,3067.0,955000.0,4019.0,3,3,70,0,0
1.0,2.0,1.0,32,9,2016,2.5,150.0,-37.8011,145.0004,1,3067.0,890000.0,4019.0,3,2,32,0,0
2.0,4.0,2.0,32,3,2017,2.5,780.0,-37.8073,144.9952,0,3067.0,1330000.0,4019.0,3,4,151,0,0
2.0,3.0,2.0,32,3,2017,2.5,0.0,-37.8093,144.9959,1,3067.0,900000.0,4019.0,3,3,26,0,1
2.0,3.0,2.0,32,3,2017,2.5,4290.0,-37.8078,144.9965,1,3067.0,1090000.0,4019.0,3,3,142,0,2
1.0,2.0,1.0,32,6,2016,2.5,0.0,-37.8015,144.9972,1,3067.0,500000.0,4019.0,3,2,70,0,2
2.0,2.0,1.0,32,6,2016,2.5,124.0,-37.8079,144.9977,0,3067.0,1100000.0,4019.0,3,2,32,0,0
1.0,2.0,0.0,32,11,2016,2.5,147.0,-37.808,144.994,1,3067.0,1315000.0,4019.0,3,2,180,0,0
1.0,3.0,2.0,32,11,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,480000.0,4019.0,3,1,32,0,2
1.0,3.0,2.0,32,5,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,423500.0,4019.0,3,1,334,0,2
1.0,1.0,1.0,32,8,2016,2.5,0.0,-37.8016,144.9988,3,3067.0,426000.0,4019.0,3,1,115,0,2
3.0,3.0,1.0,32,8,2016,2.5,166.0,-37.8017,145.0001,0,3067.0,1447500.0,4019.0,3,3,206,0,0
1.0,1.0,1.0,32,8,2016,2.5,0.0,-37.8078,144.9965,1,3067.0,457000.0,4019.0,3,1,142,0,2
2.0,2.0,2.0,32,8,2016,2.5,98.0,-37.8005,144.9952,1,3067.0,1135000.0,4019.0,3,2,206,0,0
1.0,3.0,2.0,32,4,2016,2.5,512.0,-37.80696302719972,144.99671101938742,1,3067.0,700000.0,4019.0,3,2,32,0,0
3.0,4.0,1.0,32,9,2016,2.5,0.0,-37.7994,144.9965,1,3067.0,1542000.0,4019.0,3,4,70,0,0
1.0,3.0,2.0,32,2,2017,2.5,512.0,-37.7972,144.9969,3,3067.0,962000.0,4019.0,3,3,142,0,1
2.0,3.0,2.0,32,2,2017,2.5,147.0,-37.805,144.9943,1,3067.0,1290000.0,4019.0,3,3,32,0,0
