CouncilArea,Postcode,Regionname,Bedroom2,Bathroom,Car,Propertycount,Landsize,Distance,Lattitude,Longtitude
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,1.0,4019.0,202.0,2.5,-37.7996,144.9984
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,0.0,4019.0,156.0,2.5,-37.8079,144.9934
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,0.0,4019.0,134.0,2.5,-37.8093,144.9944
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,1.0,4019.0,94.0,2.5,-37.7969,144.9969
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,120.0,2.5,-37.8072,144.9941
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,0.0,4019.0,181.0,2.5,-37.8041,144.9953
Yarra City Council,3067.0,Northern Metropolitan,4.0,2.0,0.0,4019.0,245.0,2.5,-37.8024,144.9993
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,2.0,4019.0,256.0,2.5,-37.806,144.9954
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,1.0,1.0,1.0,4019.0,0.0,2.5,-37.8008,144.9973
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,220.0,2.5,-37.801,144.9989
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,2.0,2.0,1.0,4019.0,0.0,2.5,-37.811,145.0067
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,2.0,4019.0,214.0,2.5,-37.8085,144.9964
Yarra City Council,3067.0,Northern Metropolitan,2.0,2.0,1.0,4019.0,0.0,2.5,-37.8078,144.9965
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.8084,144.9942
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,1.0,4019.0,195.0,2.5,-37.8084,144.9973
Yarra City Council,3067.0,Northern Metropolitan,1.0,1.0,1.0,4019.0,0.0,2.5,-37.8016,144.9988
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,2.0,4019.0,238.0,2.5,-37.809,144.9976
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,1.0,4019.0,113.0,2.5,-37.8056,144.993
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,1.0,4019.0,138.0,2.5,-37.8021,144.9965
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,0.0,4019.0,183.0,2.5,-37.8022,144.9975
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,1.0,4019.0,150.0,2.5,-37.8011,145.0004
Yarra City Council,3067.0,Northern Metropolitan,4.0,2.0,2.0,4019.0,780.0,2.5,-37.8073,144.9952
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,2.0,4019.0,0.0,2.5,-37.8093,144.9959
Yarra City Council,3067.0,Northern Metropolitan,3.0,2.0,2.0,4019.0,4290.0,2.5,-37.8078,144.9965
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,1.0,4019.0,0.0,2.5,-37.8015,144.9972
Yarra City Council,3067.0,Northern Metropolitan,2.0,2.0,1.0,4019.0,124.0,2.5,-37.8079,144.9977
Yarra City Council,3067.0,Northern Metropolitan,2.0,1.0,0.0,4019.0,147.0,2.5,-37.808,144.994
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,3.0,1.0,2.0,4019.0,512.0,2.5,-37.80696302719972,144.99671101938742
Yarra City Council,3067.0,Northern Metropolitan,1.0,1.0,1.0,4019.0,0.0,2.5,-37.8016,144.9988
Yarra City Council,3067.0,Northern Metropolitan,3.0,3.0,1.0,4019.0,166.0,2.5,-37.8017,145.0001
Yarra City Council,3067.0,Northern Metropolitan,1.0,1.0,1.0,4019.0,0.0,2.5,-37.8078,144.9965
Yarra City Council,3067.0,Northern Metropolitan,2.0,2.0,2.0,4019.0,98.0,2.5,-37.8005,144.9952
